Output Order,Index Name,In Text Name,Category,Introduced in Version,Description,Numerator/equation,Denominator,Corpus/Database,Reference,Corpus/Database Reference,Mode-Genre,Raw/Lemma,Types of Words,Raw/Log,Tokens/Types
1,KF_Freq_AW,Kucera-Francis Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,All Words,Raw,Tokens
2,KF_Freq_AW_Log,Kucera-Francis Frequency AW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,All Words,Log Transformed,Tokens
3,KF_Ncats_AW,Kucera-Francis Register Range AW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of category scores,number of words in text with category scores,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,All Words,Raw,Tokens
4,KF_Nsamp_AW,Kucera-Francis Range AW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of sample scores,number of words in text with sample scores,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,All Words,Raw,Tokens
5,TL_Freq_AW,Thorndike-Lorge Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Lorge's corpus of popular magazine articles,"Thorndike & Lorge, 1944","Thorndike & Lorge, 1944",Written,Lemma,All Words,Raw,Tokens
6,TL_Freq_AW_Log,Thorndike-Lorge Frequency AW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Lorge's corpus of popular magazine articles,"Thorndike & Lorge, 1944","Thorndike & Lorge, 1944",Written,Lemma,All Words,Log Transformed,Tokens
7,Brown_Freq_AW,Brown Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,London-Lund Corpus of Conversation,"Brown, 1984","Svartvik and Quirk, 1980",Spoken,Lemma,All Words,Raw,Tokens
8,Brown_Freq_AW_Log,Brown Frequency AW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,London-Lund Corpus of Conversation,"Brown, 1984","Svartvik and Quirk, 1980",Spoken,Lemma,All Words,Log Transformed,Tokens
9,KF_Freq_CW,Kucera-Francis Frequency CW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Content Words,Raw,Tokens
10,KF_Freq_CW_Log,Kucera-Francis Frequency CW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Content Words,Log Transformed,Tokens
11,KF_Ncats_CW,Kucera-Francis Register Range CW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of category scores,number of words in text with category scores,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Content Words,Raw,Tokens
12,KF_Nsamp_CW,Kucera-Francis Range CW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of sample scores,number of words in text with sample scores,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Content Words,Raw,Tokens
13,TL_Freq_CW,Thorndike-Lorge Frequency CW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Lorge's corpus of popular magazine articles,"Thorndike & Lorge, 1944","Thorndike & Lorge, 1944",Written,Lemma,Content Words,Raw,Tokens
14,TL_Freq_CW_Log,Thorndike-Lorge Frequency CW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Lorge's corpus of popular magazine articles,"Thorndike & Lorge, 1944","Thorndike & Lorge, 1944",Written,Lemma,Content Words,Log Transformed,Tokens
15,Brown_Freq_CW,Brown Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,London-Lund Corpus of Conversation,"Brown, 1984","Svartvik and Quirk, 1980",Spoken,Lemma,Content Words,Raw,Tokens
16,Brown_Freq_CW_Log,Brown Frequency CW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,London-Lund Corpus of Conversation,"Brown, 1984","Svartvik and Quirk, 1980",Spoken,Lemma,Content Words,Log Transformed,Tokens
17,KF_Freq_FW,Kucera-Francis Frequency FW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Function Words,Raw,Tokens
18,KF_Freq_FW_Log,Kucera-Francis Frequency FW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Function Words,Log Transformed,Tokens
19,KF_Ncats_FW,Kucera-Francis Register Range FW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of category scores,number of words in text with category scores,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Function Words,Raw,Tokens
