One-way ANOVA Result,,,,,,,
Measure,Mean (SD),,,,F,Sig.,Post hoc tests
,A,B,C,D,,,
,(n=6),(n=23),(n=65),(n=26),,,
LD,0.48 (0.03),0.5 (0.03),0.5 (0.03),0.52 (0.04),4.48,0.005,"A<D, B<D, C<D"
ndwerz,39.77 (1.60),37.94 (1.74),37.89 (1.87),37.05 (2.06),3.66,0.015,"A>B, A>C, A>D"
ndwesz,36.23 (1.75),34.69 (1.48),34.03 (2.2),32.65 (3.52),4.979,0.003,A>D
logttr,0.86 (0.01),0.85 (0.02),0.85 (0.02),0.85 (0.02),0.354,0.786,/
uber,18.03 (0.8),17.02 (1.61),16.83 (1.68),16.47 (1.85),1.524,0.212,/
lv,0.58 (0.1),0.61 (0.1),0.59 (0.1),0.58 (0.11),0.513,0.674,/
vv1,17.3 (3.71),18.26 (4.73),14.94 (4.04),11.65 (3.98),10.982,0,"A>D, B>C, B>D, C>D"
cvv1,0.58 (0.02),0.56 (0.06),0.57 (0.06),0.55 (0.07),0.627,0.599,/
vv2,0.15 (0.02),0.15 (0.02),0.15 (0.02),0.13 (0.03),5.307,0.002,"B>D, C>D"
nv,0.61 (0.06),0.58 (0.09),0.61 (0.08),0.58 (0.09),0.842,0.474,/
mattr,0.7 (0.03),0.67 (0.03),0.65 (0.05),0.63 (0.06),4.119,0.008,"A>C, A>D, B>D"
msttr,0.71 (0.04),0.67 (0.03),0.66 (0.05),0.64 (0.05),4.598,0.004,"A>C, A>D, B>D, C>D"
mtld,0.76 (0.02),0.75 (0.03),0.74 (0.04),0.72 (0.04),3.079,0.03,"A>D, B>D, C>D"
hdd,41.76 (9.94),34.33 (8.03),31.75 (8.32),29.4 (8.62),4.098,0.008,"A>C, A>D, B>D"
vocd,81.27 (15.16),68.26 (11.82),66.92 (15.39),62.55 (17.76),2.514,0.062,/
KF_Freq_AW_Log,3.17 (0.08),3.12 (0.08),3.13 (0.08),3.14 (0.08),0.832,0.479,/
KF_Ncats_AW,14.07 (0.24),14.11 (0.19),14.15 (0.21),14.12 (0.27),0.444,0.722,/
KF_Nsamp_AW,316.64 (14.05),307.1 (14.11),305.66 (15.53),308 (14.64),1.035,0.38,/
TL_Freq_AW_Log,3.94 (0.06),3.87 (0.1),3.88 (0.09),3.89 (0.09),0.989,0.401,/
Brown_Freq_AW_Log,2.51 (0.06),2.51 (0.1),2.5 (0.12),2.49 (0.1),0.229,0.876,/
MRC_Familiarity_AW,601.11 (1.11),599.96 (2.29),599.71 (2.95),599.83 (2.16),0.54,0.656,/
MRC_Concreteness_AW,315.36 (11.05),320.79 (11.71),318.93 (12.79),321.56 (11.57),0.595,0.619,/
MRC_Imageability_AW,343.39 (10.24),347.3 (9.91),345.34 (12.27),347.63 (12.12),0.424,0.736,/
MRC_Meaningfulness_AW,364.91 (14.66),373.02 (10.72),371.8 (11.71),370.75 (11.96),0.81,0.491,/
Kuperman_AoA_AW,4.62 (0.14),4.66 (0.18),4.63 (0.21),4.63 (0.14),0.132,0.941,/
Brysbaert_Concreteness_Combined_AW,2.61 (0.11),2.6 (0.12),2.61 (0.12),2.62 (0.11),0.179,0.911,/
SUBTLEXus_Freq_AW_Log,4.86 (0.07),4.86 (0.1),4.85 (0.1),4.84 (0.1),0.223,0.88,/
SUBTLEXus_Range_AW_Log,3.7 (0.05),3.69 (0.05),3.69 (0.05),3.68 (0.05),0.399,0.754,/
BNC_Written_Freq_AW_Log,0.09 (0.07),0.06 (0.09),0.04 (0.1),0.07 (0.09),0.922,0.433,/
BNC_Written_Range_AW,78.58 (1.97),78.56 (2.62),77.62 (2.9),77.83 (2.98),0.75,0.525,/
BNC_Spoken_Freq_AW_Log,0.16 (0.09),0.17 (0.09),0.17 (0.1),0.15 (0.1),0.212,0.888,/
BNC_Spoken_Range_AW,76.93 (3.31),77.43 (2.85),77.36 (2.9),76.34 (3.6),0.77,0.513,/
BNC_Spoken_Bigram_Normed_Freq_Log,-1.37 (0.08),-1.34 (0.1),-1.35 (0.11),-1.33 (0.1),0.303,0.823,/
BNC_Written_Bigram_Freq_Normed_Log,-1.49 (0.07),-1.5 (0.06),-1.51 (0.09),-1.46 (0.09),2.336,0.077,/
BNC_Spoken_Trigram_Normed_Freq_Log,-2.05 (0.11),-2.08 (0.09),-2.07 (0.12),-2.06 (0.09),0.148,0.93,/
BNC_Written_Trigram_Freq_Normed_Log,-2.29 (0.1),-2.31 (0.08),-2.33 (0.11),-2.31 (0.09),0.475,0.7,/
BNC_Spoken_Bigram_Proportion,0.6 (0.07),0.6 (0.06),0.6 (0.06),0.59 (0.07),0.333,0.801,/
BNC_Written_Bigram_Proportion,0.6 (0.05),0.58 (0.07),0.57 (0.06),0.57 (0.06),0.385,0.764,/
BNC_Spoken_Trigram_Proportion,0.18 (0.05),0.19 (0.05),0.18 (0.05),0.18 (0.05),0.156,0.926,/
BNC_Written_Trigram_Proportion,0.18 (0.04),0.18 (0.04),0.16 (0.05),0.18 (0.04),0.95,0.419,/
COCA_spoken_Range_Log_AW,-0.4 (0.04),-0.41 (0.06),-0.42 (0.07),-0.43 (0.08),0.462,0.71,/
COCA_spoken_Frequency_Log_AW,3.14 (0.06),3.11 (0.09),3.09 (0.11),3.09 (0.11),0.399,0.754,/
COCA_spoken_Bigram_Frequency_Log,1.4 (0.05),1.41 (0.09),1.4 (0.11),1.42 (0.1),0.3,0.826,/
COCA_spoken_Bigram_Range_Log,-1.38 (0.04),-1.38 (0.08),-1.38 (0.09),-1.37 (0.08),0.125,0.945,/
