One-way ANOVA Result,,,,,,,
Measure,Mean (SD),,,,F,Sig.,Post hoc tests
,4,5,6,7,,,
,(n=17),(n=40),(n=52),(n=112),,,
LD,0.53 (0.03),0.51 (0.04),0.5 (0.03),0.49 (0.03),4.02 ,0.01 ,"4>6, 4>7, 5>7"
ndwerz,37.26 (2.17),37.59 (1.82),37.97 (1.88),38.76 (2.1),1.65 ,0.18 ,/
ndwesz,32.78 (3.59),33.28 (2.57),34.57 (1.91),35.45 (1.94),4.86 ,0.00 ,"4<6, 4<7, 5<6, 5<7"
logttr,0.85 (0.02),0.85 (0.02),0.85 (0.02),0.85 (0.02),0.21 ,0.89 ,/
uber,16.72 (2.05),16.67 (1.6),16.92 (1.67),17.4 (1.52),0.60 ,0.62 ,/
lv,0.58 (0.12),0.58 (0.09),0.6 (0.11),0.6 (0.1),0.21 ,0.89 ,/
vv1,11.52 (4.53),13.75 (3.46),16.46 (4.75),17.84 (3.94),8.62 ,0.00 ,"4<6, 4<7, 5<6, 5<7"
cvv1,0.56 (0.06),0.56 (0.06),0.57 (0.07),0.56 (0.05),0.29 ,0.84 ,/
vv2,0.13 (0.03),0.14 (0.02),0.15 (0.02),0.15 (0.02),4.36 ,0.01 ,"4<6, 4<7, 5<6"
nv,0.61 (0.07),0.59 (0.09),0.61 (0.08),0.58 (0.06),0.74 ,0.53 ,/
mattr,0.63 (0.07),0.65 (0.05),0.66 (0.04),0.69 (0.04),3.53 ,0.02 ,"4<7, 5<7"
msttr,0.64 (0.05),0.65 (0.04),0.67 (0.04),0.69 (0.04),3.53 ,0.02 ,"4<7, 5<7"
mtld,0.72 (0.05),0.74 (0.04),0.74 (0.03),0.76 (0.04),2.07 ,0.11 ,/
hdd,29.11 (8.47),31.07 (8.59),32.45 (7.56),40.31 (10.93),4.47 ,0.01 ,"4<7, 5<7, 6<7"
vocd,64.31 (18.34),66.24 (16.66),66.38 (13.23),76.28 (16.69),1.54 ,0.21 ,/
KF_Freq_AW_Log,3.15 (0.09),3.14 (0.08),3.12 (0.07),3.14 (0.11),0.73 ,0.54 ,/
KF_Ncats_AW,14.06 (0.28),14.18 (0.24),14.12 (0.18),14.09 (0.21),1.58 ,0.20 ,/
KF_Nsamp_AW,307.69 (16.48),308.45 (12.64),305.03 (15.72),309.91 (18.13),0.56 ,0.64 ,/
TL_Freq_AW_Log,3.9 (0.09),3.88 (0.09),3.88 (0.09),3.91 (0.11),0.74 ,0.53 ,/
Brown_Freq_AW_Log,2.47 (0.11),2.48 (0.13),2.51 (0.1),2.54 (0.07),1.13 ,0.34 ,/
MRC_Familiarity_AW,599.79 (2.41),599.72 (2.98),599.82 (2.61),600.61 (1.13),0.35 ,0.79 ,/
MRC_Concreteness_AW,323.2 (11.73),318.9 (13.39),319.53 (11.77),317.76 (10.84),0.61 ,0.61 ,/
MRC_Imageability_AW,349.53 (13.19),345.49 (11.89),345.89 (11.37),344.15 (10.11),0.63 ,0.60 ,/
MRC_Meaningfulness_AW,369.66 (13.6),371.87 (10.38),372.4 (11.44),368.37 (14.97),0.51 ,0.68 ,/
Kuperman_AoA_AW,4.6 (0.09),4.64 (0.22),4.65 (0.2),4.62 (0.16),0.29 ,0.84 ,/
Brysbaert_Concreteness_Combined_AW,2.64 (0.11),2.6 (0.11),2.62 (0.12),2.59 (0.11),0.92 ,0.44 ,/
SUBTLEXus_Freq_AW_Log,4.82 (0.11),4.85 (0.11),4.86 (0.09),4.88 (0.08),0.95 ,0.42 ,/
SUBTLEXus_Range_AW_Log,3.67 (0.05),3.69 (0.05),3.69 (0.04),3.7 (0.05),1.07 ,0.37 ,/
BNC_Written_Freq_AW_Log,0.07 (0.1),0.05 (0.1),0.04 (0.08),0.07 (0.1),0.45 ,0.72 ,/
BNC_Written_Range_AW,77 (3.14),78.22 (2.96),77.82 (2.71),78.44 (2.32),0.90 ,0.44 ,/
BNC_Spoken_Freq_AW_Log,0.13 (0.11),0.17 (0.11),0.17 (0.08),0.18 (0.08),1.11 ,0.35 ,/
BNC_Spoken_Range_AW,75.03 (3.38),77.61 (3.2),77.35 (2.64),77.6 (3),3.35 ,0.02 ,"4<5, 4<6, 4<7"
BNC_Spoken_Bigram_Normed_Freq_Log,-1.33 (0.11),-1.35 (0.11),-1.34 (0.1),-1.37 (0.08),0.47 ,0.71 ,/
BNC_Written_Bigram_Freq_Normed_Log,-1.43 (0.07),-1.51 (0.1),-1.5 (0.07),-1.52 (0.07),3.86 ,0.01 ,"4>5, 4>6, 4>7"
BNC_Spoken_Trigram_Normed_Freq_Log,-2.07 (0.11),-2.08 (0.1),-2.06 (0.12),-2.07 (0.11),0.08 ,0.97 ,/
BNC_Written_Trigram_Freq_Normed_Log,-2.3 (0.11),-2.33 (0.08),-2.31 (0.11),-2.32 (0.1),0.66 ,0.58 ,/
BNC_Spoken_Bigram_Proportion,0.57 (0.06),0.61 (0.07),0.6 (0.06),0.62 (0.06),2.19 ,0.09 ,/
BNC_Written_Bigram_Proportion,0.56 (0.06),0.58 (0.07),0.57 (0.06),0.61 (0.06),1.93 ,0.13 ,/
BNC_Spoken_Trigram_Proportion,0.17 (0.05),0.18 (0.06),0.18 (0.04),0.18 (0.05),0.31 ,0.82 ,/
BNC_Written_Trigram_Proportion,0.17 (0.05),0.17 (0.05),0.16 (0.04),0.19 (0.04),1.22 ,0.31 ,/
COCA_spoken_Range_Log_AW,-0.45 (0.08),-0.42 (0.08),-0.42 (0.06),-0.4 (0.06),1.07 ,0.36 ,/
COCA_spoken_Frequency_Log_AW,3.08 (0.11),3.1 (0.12),3.1 (0.09),3.12 (0.08),0.51 ,0.68 ,/
COCA_spoken_Bigram_Frequency_Log,1.4 (0.1),1.41 (0.13),1.4 (0.09),1.41 (0.05),0.02 ,1.00 ,/
COCA_spoken_Bigram_Range_Log,-1.39 (0.08),-1.38 (0.1),-1.38 (0.08),-1.37 (0.05),0.16 ,0.92 ,/
