Correlation (C-index),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,ndwerz,ndwesz,logttr,uber,lv,vv1,cvv1,vv2,nv,mattr,msttr,mtld,hdd,vocd,KF_Freq_AW_Log,KF_Ncats_AW,KF_Nsamp_AW,TL_Freq_AW_Log,Brown_Freq_AW_Log,MRC_Familiarity_AW,MRC_Concreteness_AW,MRC_Imageability_AW,MRC_Meaningfulness_AW,Kuperman_AoA_AW,Brysbaert_Concreteness_Combined_AW,SUBTLEXus_Freq_AW_Log,SUBTLEXus_Range_AW_Log,BNC_Written_Freq_AW_Log,BNC_Written_Range_AW,BNC_Spoken_Freq_AW_Log,BNC_Spoken_Range_AW,BNC_Spoken_Bigram_Normed_Freq_Log,BNC_Written_Bigram_Freq_Normed_Log,BNC_Spoken_Trigram_Normed_Freq_Log,BNC_Written_Trigram_Freq_Normed_Log,BNC_Spoken_Bigram_Proportion,BNC_Written_Bigram_Proportion,BNC_Spoken_Trigram_Proportion,BNC_Written_Trigram_Proportion,COCA_spoken_Range_Log_AW,COCA_spoken_Frequency_Log_AW,COCA_spoken_Bigram_Frequency_Log,COCA_spoken_Bigram_Range_Log,COCA_spoken_bi_MI2,COCA_spoken_bi_T,COCA_spoken_bi_DP,COCA_spoken_bi_prop_30k,COCA_spoken_Trigram_Frequency_Log,COCA_spoken_Trigram_Range_Log,COCA_spoken_tri_MI2,COCA_spoken_tri_T,COCA_spoken_tri_DP,COCA_spoken_tri_2_MI,COCA_spoken_tri_2_T,COCA_spoken_tri_2_DP,COCA_spoken_tri_prop_30k,eat_types,eat_tokens,USF,McD_CD,Sem_D,Log_Freq_HAL,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,OLD,OLDF,PLD,PLDF,BG_Mean,LD_Mean_RT,LD_Mean_RT_Zscore,LD_Mean_RT_SD,LD_Mean_Accuracy,WN_Mean_RT,WN_Zscore,WN_SD,WN_Mean_Accuracy,lsa_average_top_three_cosine,lsa_max_similarity_cosine,lsa_average_all_cosine,aoe_inverse_average,aoe_inverse_linear_regression_slope,aoe_index_above_threshold_40,aoe_inflection_point_polynomial
Pearson's r,C,1,0.25,0.324,0.016,0.164,0.105,0.446,0.11,0.341,-0.005,0.288,0.305,0.244,0.294,0.19,-0.165,-0.163,-0.049,-0.116,0.062,0.023,-0.013,-0.031,-0.008,0.059,0.001,0.026,0.017,-0.082,0.026,0.018,0.079,-0.003,-0.165,0.071,0.065,0.014,0.009,-0.002,-0.095,0.019,-0.013,0.024,0.053,0.067,-0.022,-0.056,0.012,-0.003,-0.001,0.014,0.118,-0.038,0.084,0.027,-0.098,0.004,-0.059,0.074,-0.007,0.087,0.052,0.008,-0.082,0,0.011,-0.029,0.177,0.078,0.042,0.03,0.174,0.177,0.131,0.114,-0.036,0.041,-0.143,0.151,0.123,0.059,-0.031,0.048,0.04,-0.173,0.121,-0.17,-0.123,-0.098,0.104,0.078,0.178,0.083
,ndwerz,0.25,1,0.671,0.664,0.719,0.401,0.402,0.554,0.294,0.361,0.699,0.674,0.85,0.582,0.835,-0.076,-0.232,-0.048,-0.019,-0.109,0.037,0.109,0.083,-0.028,-0.009,0.039,-0.146,-0.148,-0.11,-0.126,-0.175,-0.161,-0.048,0.006,0.06,0.021,-0.077,-0.034,-0.031,0.027,-0.159,-0.163,-0.102,-0.108,-0.098,0.023,-0.11,-0.041,0.088,0.086,0.1,0.031,0.072,0.058,0.018,0.01,0.024,0.03,-0.144,0.066,0.085,0.013,-0.089,0.084,-0.088,-0.099,0.048,0.069,0.038,0.103,0.105,0.071,0.069,-0.113,0.04,-0.024,0.063,-0.02,-0.007,0.035,0.052,-0.014,0.053,0.068,0.108,-0.071,0.088,0.118,0.08,-0.106,-0.161,-0.106,-0.098
,ndwesz,0.324,0.671,1,0.627,0.675,0.424,0.42,0.485,0.297,0.297,0.875,0.857,0.713,0.74,0.681,-0.077,-0.243,-0.048,0.017,-0.024,0.049,0.114,0.087,-0.005,-0.032,0.086,-0.089,-0.104,-0.096,-0.113,-0.166,-0.161,-0.082,-0.112,-0.031,-0.108,-0.107,0.02,-0.073,0.004,-0.117,-0.114,-0.124,-0.123,-0.117,-0.057,-0.189,0.001,-0.12,-0.12,-0.062,-0.117,-0.045,0.08,-0.077,-0.06,-0.028,0.031,-0.118,0.076,0.152,0.003,-0.058,0.081,-0.046,-0.048,0.047,0.069,-0.013,-0.018,-0.012,0.073,0.069,-0.069,0.027,-0.013,0.054,-0.146,0.117,0.117,0.15,-0.046,0.074,0.094,0.081,-0.02,0.023,0.071,0.032,-0.002,0.024,0.009,-0.001
,logttr,0.016,0.664,0.627,1,0.944,0.686,0.375,0.859,0.414,0.574,0.636,0.627,0.611,0.506,0.639,-0.13,-0.287,-0.101,-0.048,-0.102,-0.013,0.089,0.059,-0.06,0.094,0.073,-0.253,-0.287,-0.195,-0.209,-0.242,-0.24,-0.084,-0.073,0.063,-0.035,-0.208,-0.127,-0.113,-0.064,-0.272,-0.265,-0.143,-0.159,-0.12,-0.009,-0.052,-0.157,0.073,0.07,0.06,-0.065,0.117,0.041,0.015,0.067,-0.054,0.05,-0.19,0.029,0.122,-0.028,-0.166,0.115,-0.028,-0.035,0.108,-0.019,-0.04,0.052,0.058,-0.024,-0.019,-0.062,-0.061,-0.021,0.024,-0.064,0.087,0.088,0.093,-0.041,0.068,0.062,0.172,-0.085,0.085,0.136,0.059,0.015,-0.039,0.031,0.021
,uber,0.164,0.719,0.675,0.944,1,0.676,0.503,0.835,0.439,0.573,0.678,0.674,0.664,0.594,0.679,-0.128,-0.295,-0.091,-0.036,-0.035,0.037,0.075,0.017,-0.075,0.065,0.094,-0.196,-0.262,-0.173,-0.167,-0.186,-0.184,-0.033,-0.043,0.077,-0.007,-0.161,-0.098,-0.049,-0.018,-0.232,-0.216,-0.081,-0.091,-0.075,-0.005,-0.053,-0.112,0.126,0.124,0.105,-0.012,0.11,0.04,0.037,0.063,0.006,0.041,-0.162,0.006,0.107,-0.004,-0.104,0.1,-0.031,-0.036,0.095,0.058,0.008,0.062,0.059,0.056,0.058,-0.047,-0.024,-0.027,0.031,-0.118,0.095,0.081,0.082,-0.038,0.075,0.075,0.132,-0.107,0.063,0.108,0.024,-0.015,-0.052,0.019,-0.013
,lv,0.105,0.401,0.424,0.686,0.676,1,0.667,0.709,0.527,0.225,0.42,0.419,0.309,0.325,0.249,-0.12,-0.151,-0.096,-0.115,-0.146,-0.007,-0.004,-0.003,-0.051,0.16,-0.029,-0.248,-0.294,-0.206,-0.186,-0.194,-0.202,-0.035,-0.034,0.032,-0.06,-0.12,-0.05,-0.08,-0.005,-0.241,-0.249,-0.024,-0.035,0.049,0.164,0.023,-0.092,0.038,0.03,0.047,0.03,0.044,0.094,0.093,-0.043,0.011,0.077,-0.027,-0.048,0.141,-0.022,-0.171,0.001,-0.128,-0.126,-0.005,0.024,-0.057,-0.019,-0.022,0.008,0.024,0.076,-0.172,0.135,-0.109,0.038,0.119,0.102,0.067,-0.026,0.093,0.055,0.243,-0.01,-0.02,0.057,0.026,0.002,-0.16,0.017,-0.001
,vv1,0.446,0.402,0.42,0.375,0.503,0.667,1,0.411,0.74,0.081,0.353,0.365,0.308,0.31,0.219,-0.05,-0.119,-0.018,-0.022,0.047,0.107,-0.029,-0.087,-0.095,0.072,-0.025,-0.008,-0.072,-0.009,-0.002,-0.01,-0.035,0.027,-0.034,0.073,-0.036,0.034,0.079,0.023,0.044,-0.008,0,0.015,0.017,-0.008,0.069,-0.074,0.049,0.055,0.052,0.004,0.077,0.075,0.011,0.08,-0.059,0.064,0.012,0.076,-0.094,0.11,0.054,0.027,0.035,-0.044,-0.042,0.007,0.122,-0.01,0.034,0.013,0.122,0.122,0.067,-0.053,0.115,-0.006,-0.095,0.076,0.013,0.038,0,0.114,0.108,0.044,0.034,-0.099,-0.025,-0.023,0.011,-0.09,0.09,0.005
,cvv1,0.11,0.554,0.485,0.859,0.835,0.709,0.411,1,0.542,0.723,0.511,0.515,0.435,0.382,0.48,-0.093,-0.224,-0.078,-0.039,-0.058,0.018,0.031,-0.001,-0.079,0.106,0.017,-0.176,-0.247,-0.146,-0.179,-0.153,-0.198,-0.035,-0.054,0.072,-0.025,-0.159,-0.096,-0.057,-0.026,-0.235,-0.204,-0.087,-0.104,-0.098,0.054,-0.019,-0.14,0.119,0.113,0.043,-0.028,0.034,-0.05,0.052,0.051,-0.007,0.054,-0.107,-0.003,0.058,-0.034,-0.116,0.138,-0.063,-0.066,0.088,-0.029,-0.055,0.062,0.064,-0.036,-0.029,-0.086,-0.006,-0.033,0.055,-0.028,0.101,0.087,0.123,-0.028,-0.013,-0.011,0.105,-0.109,0.037,0.069,0.028,0.058,-0.051,0.061,0.066
,vv2,0.341,0.294,0.297,0.414,0.439,0.527,0.74,0.542,1,0.282,0.233,0.248,0.163,0.169,0.187,-0.077,-0.143,-0.014,-0.033,0.074,0.081,-0.081,-0.14,-0.128,0.078,-0.02,-0.027,-0.106,-0.064,-0.042,-0.019,-0.038,-0.018,-0.151,0.055,-0.02,-0.004,0.042,-0.02,-0.047,-0.072,-0.056,-0.06,-0.057,-0.122,0.011,-0.146,-0.015,0.048,0.044,-0.017,0.065,0.047,-0.093,0.049,0.013,-0.008,-0.038,0.008,-0.088,0.092,0.034,0.003,0.077,-0.001,0.005,0.064,0.067,0.012,0.112,0.104,0.066,0.067,-0.031,0.025,-0.018,0.122,-0.131,0.104,0.042,0.02,-0.076,0.049,0.056,-0.067,0.007,-0.062,-0.029,-0.013,0.088,-0.047,0.147,0.094
,nv,-0.005,0.361,0.297,0.574,0.573,0.225,0.081,0.723,0.282,1,0.291,0.281,0.292,0.192,0.428,-0.027,-0.188,-0.076,0.074,0.007,0.04,0.102,0.04,-0.03,-0.081,0.145,-0.071,-0.133,-0.084,-0.187,-0.124,-0.185,0,-0.018,0.022,0.062,-0.192,-0.132,-0.029,-0.044,-0.18,-0.12,-0.114,-0.145,-0.153,-0.082,-0.018,-0.201,0.148,0.144,0.048,-0.047,0.062,-0.094,0.013,0.088,-0.056,0.032,-0.104,-0.029,-0.056,-0.091,-0.079,0.182,0.024,0.01,0.14,-0.054,-0.016,0.057,0.06,-0.052,-0.054,-0.206,0.129,-0.193,0.216,-0.099,0.03,0.015,0.106,-0.048,-0.088,-0.06,-0.093,-0.103,0.093,0.092,0.06,-0.006,0.087,0.015,0.034
