filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
1.txt,365,163,150,110,215,53,0.674846626,0.410958904,0.446575342,0.733333333,0.246511628,8.531809938,8.98146239,3.614569999,0.863362512,0.938100678,0.739258891,0.053326257,0.028445187,0.111789063,0.712721519,0.894653465,0.45,0.722857143,0.886666667,0.45,0.767069956,0.899624049,0.536857288,43.91234985,157.5,13.3962244,40.05948341,10.5,13.05915238,41.77534247,146.6891892,13.06046512
10.txt,315,122,139,79,176,43,0.647540984,0.441269841,0.387301587,0.568345324,0.244318182,6.873921272,6.700692544,3.241246954,0.83510828,0.88549416,0.727436758,0.06600129,0.053432127,0.121381298,0.644736842,0.656,0.448031496,0.643333333,0.68,0.426666667,0.718876863,0.755674879,0.491433781,33.64285325,35.63347458,13.24208541,31.80879503,27.1109143,13.56146404,32.99047619,35.97841727,13.23863636
100.txt,354,130,125,78,229,52,0.6,0.353107345,0.367231638,0.624,0.227074236,6.909422045,6.97653209,3.436256722,0.829321556,0.902325131,0.727170753,0.066958896,0.046580382,0.115613673,0.659278689,0.788947368,0.458888889,0.662857143,0.79,0.445,0.728645451,0.821557637,0.532531103,28.04606776,63.39348572,14.59533116,29.23835544,49.92629179,14.25572364,31.03107345,65.84,14.73362445
101.txt,316,126,137,74,179,52,0.587301587,0.433544304,0.398734177,0.540145985,0.290502793,7.088053776,6.322246667,3.886662482,0.84025339,0.87481337,0.761702304,0.063906643,0.058588209,0.105775962,0.696179775,0.715227273,0.485384615,0.693333333,0.7,0.513333333,0.772214583,0.772309662,0.566707518,39.94382022,34.25,17.18330886,37.961336,30.00671268,15.57477041,38.36075949,29.64963504,16.15642458
102.txt,401,132,162,78,239,54,0.590909091,0.403990025,0.329177057,0.481481481,0.225941423,6.591765437,6.12825877,3.492969628,0.814620178,0.856339328,0.728386852,0.071213808,0.065019097,0.114200045,0.618863636,0.617345133,0.430631579,0.6325,0.613333333,0.45,0.717752181,0.74328534,0.502919752,26.62381251,27.07769784,14.49816176,25.79593292,20.57939469,13.79805188,27.76558603,21.94444444,14.12970711
103.txt,328,100,110,58,218,42,0.58,0.335365854,0.304878049,0.527272727,0.19266055,5.521576304,5.530083018,2.844598938,0.79495242,0.863835756,0.694154155,0.081501535,0.066701642,0.130789624,0.57046595,0.594098361,0.387692308,0.573333333,0.63,0.4,0.637188268,0.705372416,0.443435547,19.89705882,20.71495327,12.64728921,20.71190532,18.23860164,12.71960112,20.93292683,19.71818182,12.61926606
104.txt,264,109,114,63,150,46,0.577981651,0.431818182,0.412878788,0.552631579,0.306666667,6.708486258,5.900490613,3.755884272,0.841354144,0.874780643,0.764102987,0.065512719,0.060877564,0.108404007,0.700465116,0.631384615,0.545544554,0.704,0.63,0.54,0.786349619,0.725679954,0.614400457,40.99098316,28.21712159,17.64062158,37.92237887,24.25206271,17.30893279,41.81818182,32.47368421,17.45333333
105.txt,303,103,107,58,196,45,0.563106796,0.353135314,0.339933993,0.542056075,0.229591837,5.917195393,5.607071636,3.214285714,0.81115606,0.868947516,0.721216331,0.076102481,0.064577477,0.121619776,0.593622047,0.642758621,0.418231293,0.6,0.64,0.44,0.687451824,0.733231578,0.492336677,21.96025004,21.03318297,12.76461033,19.83082137,20.25068716,11.83246765,21.30363036,21.08411215,12.20918367
106.txt,238,111,105,64,133,47,0.576576577,0.441176471,0.466386555,0.60952381,0.353383459,7.195061331,6.245760467,4.075416857,0.860617188,0.893622371,0.787295038,0.058648558,0.052631205,0.100150575,0.686349206,0.673214286,0.508571429,0.67,0.69,0.5,0.781145945,0.76572536,0.594444859,37.28285256,39.41272673,16.625,33.51707737,28.99062147,16.46140688,45.61764706,38.86666667,18.84962406
107.txt,302,111,109,66,193,45,0.594594595,0.360927152,0.367549669,0.605504587,0.233160622,6.387332248,6.321653482,3.239170878,0.824724699,0.893059915,0.723330151,0.070675327,0.052487825,0.121051372,0.568932806,0.663,0.395694444,0.576666667,0.68,0.366666667,0.731106576,0.809072215,0.524578898,16.41581329,23.36062338,10.93839853,16.30966085,19.38578089,10.67663043,16.42384106,22.10091743,10.64766839
